lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,vehicle_speed_mean,vehicle_speed_min,vehicle_speed_max,distance_mean,distance_min,distance_max,bike_speed_mean,bike_speed_min,bike_speed_max,level,binary_risk
3,1,1,turn_right,turn_right,same_direction,0,0,0,0,0,1,1,5.02326497086614,6.119267e-05,15.44827,3.42276406218905,0.0,7.019561,11.5229329848258,0.1103294,64.30499,hard,collision
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,49.8872486585365,49.40001,50.00025,4.243694,1.09706,9.533581,7.89867106097561,7.670907,8.087599,hard,danger
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,49.876250625,49.4,50.0,4.3291869375,1.377702,9.451936,14.6371645833333,14.42781,14.99962,hard,danger
4,1,0,turn_right,turn left,opposite_direction,0,0,1,0,0,0,1,19.9642582926829,19.86667,20.00016,4.31883791463414,1.334945,9.43301,21.7698453658536,21.66541,21.91896,hard,danger
2,1,1,turn left,stop,same_direction,0,0,0,0,1,1,1,15.887193669356,0.000152366,36.01492,4.82068368783068,1.829217,9.520147,13.8731861375661,11.57643,16.02863,normal,danger
1,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,7.22100111931818e-05,5.680264e-05,9.56169e-05,3.56932505113636,1.771376,7.16208,9.74920885795454,6.468718,10.0046,normal,danger
1,1,1,stop,turn_right,same_direction,0,0,0,0,0,0,0,4.95531219889704,4.518514e-05,24.84012,3.12787205338809,1.468115,7.224104,0.0127332108305954,2.328773e-05,0.5355647,hard,danger
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,49.8294460714285,49.40002,50.00123,4.201035,1.093189,9.440688,19.7024801785714,18.83612,20.39791,easy,danger
2,1,0,turn left,turn_right,same_direction,0,0,1,1,0,1,1,3.30170205208356,0.0001600753,11.34573,4.09664389726027,1.801466,9.039986,22.6283076712328,20.8277,23.34663,hard,danger
1,1,1,turn left,turn left,same_direction,0,0,0,0,0,1,1,29.2740660714285,26.46898,32.07908,4.19282298214285,1.51698,7.053965,10.5915111785714,9.917968,11.28784,easy,danger
1,0,0,straight,turn left,same_direction,0,0,0,0,0,0,0,29.8735163681592,29.41067,30.00035,4.53467400497512,1.774078,9.513318,15.0062583582089,13.53283,17.08373,normal,danger
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,49.8994518867924,49.6534,50.00022,4.45128081132075,1.431321,9.581808,15.3983733962264,14.49516,16.25091,hard,danger
1,1,1,turn_right,turn_right,same_direction,0,0,0,0,0,1,1,15.2391691603053,12.63774,17.83946,3.62522239694656,1.780227,7.178415,26.198324351145,24.81578,27.84559,hard,danger
2,1,1,turn left,straight,opposite_direction,0,0,0,0,0,1,1,12.2131994117647,11.41732,13.11953,4.02206760784313,1.844335,7.222836,55.3564550980392,52.18099,56.95863,normal,danger
1,0,1,straight,stop,opposite_direction,0,1,0,0,0,1,1,8.09708851037344e-05,6.724233e-05,9.138748e-05,4.05178237136929,0.6047375,9.524613,14.1805729045643,13.23739,15.7962,easy,danger
4,1,0,turn_right,turn left,opposite_direction,0,0,1,0,0,0,1,19.8969468115942,19.69995,20.00001,4.56933492753623,1.812965,9.42619,28.1989927536231,27.57883,28.80816,hard,danger
4,1,0,straight,turn left,from_left,1,0,0,0,0,0,1,12.3624436402877,9.649598,20.00001,3.55990226978417,1.094883,9.486994,2.83127658435611,0.001449298,8.721933,hard,danger
3,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,14.4848810377245,0.6503511,39.02935,6.01733924352894,0.0,7.868333,9.32478693213572,6.6111,14.00381,hard,collision
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,24.4347484431137,23.7252,25.00095,3.06168496706586,0.7529643,7.061777,8.97641029940119,8.14084,9.861391,hard,danger
2,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,36.0279202127659,34.0959,37.95993,4.46762027659574,1.619868,9.307848,36.1049065957446,35.8551,36.34769,hard,danger
2,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,49.902304,49.40004,50.00033,4.486816975,1.661471,9.304016,34.54810225,34.50572,34.61426,hard,danger
2,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,5.35603134375e-05,4.240122e-05,9.213699e-05,2.949663084375,1.16727,7.100302,7.962723025,5.971056,13.68363,normal,danger
4,1,0,turn_right,turn left,opposite_direction,0,0,1,0,0,0,1,29.9572261666666,29.76667,30.00001,4.08924132166666,0.7469206,9.465337,27.3536419999999,26.76625,27.79768,hard,danger
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,49.8080943636363,49.40001,50.00016,3.28205239818181,0.8633423,7.056813,20.1057523636363,19.39028,20.81854,hard,danger
1,0,1,straight,straight,opposite_direction,0,0,0,0,1,0,1,46.1733065079365,29.78367,50.0,4.47468049206349,1.620489,9.435399,7.21680839682539,7.045056,7.248505,hard,danger
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,49.9580819565217,49.60667,50.00001,4.33371728260869,1.688708,9.365634,17.9735997826086,17.32786,18.63791,normal,danger
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,44.9139327102803,44.69951,45.0182,4.07434440747663,0.6027336,9.520913,12.6175760560747,7.874025,15.58069,normal,danger
1,1,1,stop,turn_right,from_left,0,0,1,0,1,0,1,26.0300219847328,23.70115,32.73492,3.37395506946564,0.5689363,7.222582,0.712803329375572,0.0002653397,2.858733,hard,danger
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,19.889031953125,19.65969,20.00023,7.053963821875,0.5991352,9.565378,26.7584041927083,14.85033,52.15627,easy,danger
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,49.8701036082474,49.4,50.0,4.37015074226804,1.35305,9.575753,14.6153545360824,14.52339,14.71268,hard,danger
2,0,1,reverse,straight,opposite_direction,1,0,1,0,0,0,1,30.9511604729729,30.79376,31.00445,4.13076037162162,1.544158,9.472749,10.1302551621621,6.71471,14.35551,normal,danger
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,19.7953242773109,8.69346,28.80021,4.11450866596638,0.9359517,9.570965,21.0435278545378,0.01364343,52.46902,hard,danger
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,25.9669710869565,25.82673,26.0002,4.34869991304347,1.745104,6.968858,3.49807308695652,2.061912,4.749548,normal,danger
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,19.9794749056603,19.86673,20.0002,4.48487065094339,1.837322,9.465518,11.4483905943396,7.221225,15.98271,hard,danger
1,0,1,straight,stop,opposite_direction,0,0,1,0,0,0,1,18.5954458536585,16.98455,20.0,4.33063891463414,1.227817,9.540063,23.1121465853658,22.35896,23.81955,hard,danger
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,20.0401134038997,8.843799,26.56143,4.45539626545961,0.8577747,7.688081,17.3686893353203,0.01364343,52.46902,hard,danger
2,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,49.8448039215686,49.39971,50.00112,3.98136892745098,0.4971727,9.541017,18.4872503921568,16.8064,20.15291,easy,danger
1,0,1,straight,turn_right,same_direction,0,0,0,0,0,0,0,29.3348593333333,18.94545,49.99992,4.02950157333333,1.451022,9.430552,1.60962796506666,0.01364343,4.572375,hard,danger
2,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,49.8512806410256,49.42582,50.01324,4.35345314102564,1.22525,9.521614,5.95622941025641,1.782988,10.05788,normal,danger
1,0,1,reverse,straight,opposite_direction,0,0,1,0,0,0,1,1.60860779946626,0.0001205651,9.20013,4.61179454554216,0.4053679,7.127389,6.63990656156867,0.008886227,13.64014,normal,danger
3,1,1,straight,straight,same_direction,0,0,0,0,1,0,1,72.830391090909,67.9625,77.70848,2.92768327090909,0.3929842,7.069128,23.312605090909,22.61211,24.02033,normal,danger
1,0,1,reverse,stop,from_right,1,0,0,0,1,0,1,3.84243330260377,0.0001004887,20.88263,1.93521944339622,0.3192724,7.156852,4.7485743313522,0.02228259,7.044104,hard,danger
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,49.8791143835616,49.55346,50.00031,3.87992441780821,0.3978373,9.436753,2.5347622979452,0.03008736,5.191795,easy,danger
1,1,1,reverse,stop,from_right,0,1,1,0,0,1,1,0.566456337045876,0.0001061637,7.560114,3.24981741494845,1.59996,7.185704,3.25743084453608,0.03159411,7.12232,normal,danger
2,1,0,reverse,turn_right,from_right,0,0,1,1,1,1,1,21.01759328,15.42555,26.19289,4.0190040288,0.1914828,9.537433,6.611845056,6.41441,7.206856,easy,collision
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,32.510017012987,23.993,50.00191,3.76278064285714,1.011421,9.548004,9.91342412337662,8.988802,10.8843,hard,danger
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,19.54947571,5.123353,43.15286,6.033404059548,0.008258224,8.739929,13.07229199,7.936462,16.92282,normal,collision
1,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,0.0001602492161073,0.0001550964,0.0001761364,4.35934624832214,1.490449,9.541319,22.7886452348993,21.17225,24.45555,hard,danger
2,1,1,stop,straight,same_direction,0,0,0,0,1,0,1,49.8262454411764,49.40001,50.00009,4.30013479411764,1.310565,9.39551,0.0904183615147058,0.003140062,0.2578331,normal,danger
4,1,0,turn left,turn left,same_direction,0,0,0,0,0,0,0,29.8019851698113,28.1459,30.00202,3.58320735471698,1.505425,7.070421,23.4188890943396,21.56704,27.18951,hard,danger
1,1,1,straight,straight,same_direction,0,0,0,0,0,0,0,24.2494006233766,13.52402,39.13633,5.24300293922077,0.7835736,9.57486,15.4658289610389,10.32395,20.30265,hard,danger
2,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,49.8432509090909,49.40002,50.0001,4.405743,1.575342,9.266891,26.3895568181818,25.78051,26.97933,hard,danger
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,32.8390194642857,29.97902,35.69905,4.35548311964285,0.9227312,9.45374,6.2143555,5.868348,7.230279,hard,danger
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,19.968504015748,19.86658,20.00017,3.95638171811023,0.8672915,9.567545,11.0938664855643,8.663183,13.26472,normal,danger
3,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,58.6492119117647,56.82483,59.00022,4.52687108823529,1.758258,9.401027,9.39644261764706,8.932498,9.872237,hard,danger
2,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,28.9462736507936,28.80672,29.00047,4.26602231746031,1.197559,9.540473,25.9294084126984,25.71746,26.07469,normal,danger
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,49.8659172839506,49.40005,50.00018,3.76202616091358,0.0,9.524971,6.52859465432098,5.371469,7.181016,easy,collision
1,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,0.0001553944445945,0.0001459951,0.0001583621,3.87068036621621,0.9034207,6.879791,15.2803163513513,14.35492,16.05984,hard,danger
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,49.8229167961165,49.4,50.00001,4.12554615339805,0.9163074,9.521665,16.7382661165048,16.25055,17.3053,normal,danger
1,0,1,straight,turn_right,same_direction,0,0,0,0,0,0,0,3.54771853152541,3.897486e-05,12.80083,4.21784916996047,0.9127784,6.905952,7.94764748221343,3.272043,14.758,hard,danger
1,1,1,turn left,stop,same_direction,0,0,0,0,0,1,1,7.4739323441651,0.0001549358,29.11648,3.43602917757009,1.249469,7.134239,0.305240708360031,7.970529e-05,3.662973,easy,danger
2,1,1,straight,turn_right,same_direction,0,0,0,0,0,0,0,37.6983747101449,24.04076,50.01444,4.8368004347826,1.112338,9.351506,8.64349303623188,5.233609,11.07681,hard,danger
2,1,0,turn left,stop,opposite_direction,0,0,1,1,0,1,1,0.000139610094468,2.06117e-05,0.0006657312,2.67789119148936,0.6290827,6.9804,10.1170333234042,6.617856,16.31321,easy,danger
3,1,1,straight,straight,from_right,0,0,0,0,0,1,1,5.78538194891255,6.96515e-05,24.33214,1.54082209235294,0.0,6.820936,5.73488870720588,0.01490461,52.68736,normal,collision
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,24.9497300833333,24.83334,25.00002,4.0630004275,0.5691824,9.515363,53.5053606666666,52.53664,54.41754,normal,danger
1,0,0,straight,stop,opposite_direction,0,0,1,0,0,0,1,3.57702903296703e-05,2.869577e-05,6.900905e-05,5.39620271428571,1.921243,9.536432,19.5721493406593,17.63342,21.58191,hard,danger
2,1,1,straight,straight,opposite_direction,0,0,0,0,1,1,0,36.8828662162162,24.76692,46.61108,3.64362351351351,1.47159,7.127322,16.9257305405405,16.52193,17.19033,normal,danger
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,38.3903346551724,34.45736,42.3233,4.3496618275862,1.422211,9.341641,19.7180424310344,9.507801,24.70469,easy,danger
1,0,1,straight,turn_right,same_direction,0,0,0,0,0,0,0,12.2908309703703,5.635438,20.0,4.42958881481481,1.47018,9.43944,34.7479388148148,33.83533,35.37582,hard,danger
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,49.8732998979591,49.45999,50.00027,4.69885612244898,1.090492,9.533632,31.2198144897959,28.77006,33.55244,normal,danger
2,0,1,reverse,straight,same_direction,0,0,0,0,1,0,1,22.7027210242718,5.42528,50.00031,3.76387270388349,1.724902,9.397232,6.75868304470873,0.0478718,11.79802,easy,danger
2,1,1,turn left,straight,from_right,0,0,1,0,1,1,1,5.13065314857887,5.353689e-08,20.00031,4.53105088571428,0.0,9.434955,9.22039857959183,6.618494,12.28,hard,collision
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,24.9599370535714,24.83335,25.00027,4.34762714285714,1.43216,9.432281,5.25798457142857,5.018669,5.585012,easy,danger
3,0,1,straight,stop,opposite_direction,0,0,0,0,1,0,1,4.63319206818181e-05,3.827888e-05,4.936101e-05,4.11284636818181,0.6754978,9.520515,39.4988929545454,35.82084,42.09539,normal,danger
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,19.9617741121495,19.86666,20.00031,4.31860737009345,0.2887599,9.433111,52.89187,37.99312,56.37925,easy,danger
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,19.9665424528301,19.86667,20.0,4.48579233962264,1.776416,9.27237,42.4919252830188,42.06027,42.8982,normal,danger
1,0,1,reverse,straight,same_direction,0,0,0,0,1,0,1,19.9562858503401,16.15902,23.756,4.8810436802721,1.981104,9.547266,3.81776448816326,0.02046941,5.603111,normal,danger
1,0,1,turn_right,straight,opposite_direction,0,0,1,0,1,0,1,49.8179684782608,49.43346,50.01419,4.16464345869565,0.979903,9.250386,25.6900776086956,25.19735,26.17937,easy,danger
2,0,1,reverse,straight,same_direction,0,0,1,0,0,0,1,19.9727825984251,19.86656,20.00854,3.91820054015748,0.5551708,9.242399,6.90929796062992,6.55262,7.245728,easy,danger
2,1,0,turn left,turn left,opposite_direction,0,1,1,0,0,0,1,29.9477231506849,29.75335,30.00023,4.44729894520547,1.506425,9.442112,17.1175347945205,15.82063,18.24195,normal,danger
1,1,1,straight,straight,opposite_direction,0,1,0,0,0,1,1,49.8343243902439,49.40012,50.0015,4.4885327804878,1.713654,9.320427,40.9483341463414,40.86092,41.03718,easy,danger
1,0,1,stop,straight,same_direction,0,0,0,0,0,0,0,43.8084843209876,23.50635,50.00004,4.63558156790123,1.468676,9.359506,0.0007906726734567,6.193145e-05,0.001503394,normal,danger
3,1,1,turn_right,straight,same_direction,0,0,0,0,0,1,1,36.100631839416,6.068033,57.38188,4.07269756788321,0.9936857,7.074932,20.083305839416,16.68908,25.36825,hard,danger
3,1,1,turn_right,turn_right,same_direction,0,0,0,0,0,1,1,15.269782368421,11.58472,19.18594,2.17442479842105,0.0,7.018106,13.3217031742105,0.1103294,62.93941,hard,collision
2,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,49.864179074074,49.55324,50.00135,4.1594002037037,1.147215,9.244166,12.2954935185185,11.31727,13.51479,easy,danger
1,0,1,turn left,turn left,same_direction,0,0,1,0,0,1,1,29.8532445999999,29.43335,30.00012,4.25682484,1.228901,9.489549,8.72148274,7.87682,9.562905,normal,danger
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,47.4841475,43.2749,50.00178,4.53578819230769,1.561557,9.563087,18.1878317307692,18.08178,18.37708,hard,danger
2,1,1,turn_right,turn left,opposite_direction,0,0,0,0,1,1,1,34.4266574418604,17.27786,50.01443,2.88164056046511,0.0,9.461241,15.8669995348837,15.42107,16.57654,normal,collision
2,0,1,straight,straight,same_direction,0,0,1,0,0,0,1,31.1125311111111,23.59514,47.14418,3.86905502020202,1.065704,9.199569,3.53685793939393,0.1306459,8.440557,normal,danger
1,1,1,straight,stop,same_direction,0,1,1,0,0,1,1,0.761411419980208,0.0001575055,5.040164,4.5704695625,1.998211,9.193505,34.0902673958333,33.43419,34.47849,easy,danger
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,19.9572262686567,19.86667,20.00006,4.3248323880597,1.439243,9.344174,30.0404270149253,29.58566,30.50138,normal,danger
1,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,1.19447143381578e-05,8.565902e-07,3.174738e-05,5.11656572039473,1.620348,9.546968,11.0421634703947,6.266676,26.0085,hard,danger
3,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,19.9787253448275,19.86735,20.00343,3.75826876293103,1.660992,9.540166,32.5111684482758,25.38348,41.70543,hard,danger
2,0,1,stop,straight,same_direction,0,0,0,0,1,0,1,19.970618503937,19.86662,20.00443,4.17976526771653,1.48217,9.54683,1.14202660682677,0.009022457,3.773043,normal,danger
4,1,0,turn_right,turn left,opposite_direction,0,0,1,0,0,0,1,29.8939819402985,29.46006,30.00171,4.552971,1.778467,9.439281,20.4773820895522,20.1889,20.90059,hard,danger
1,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,7.32432605914396e-05,5.300152e-06,9.090564e-05,3.56169356420233,1.735145,7.151927,10.3140206108949,6.468718,16.29924,normal,danger
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,49.85883,49.39886,50.00325,4.01575789333333,0.6250479,9.501068,3.84353598666666,3.662136,3.952168,hard,danger
2,1,1,turn left,turn left,same_direction,0,0,1,0,1,1,1,0.0004930453521192,1.011847e-05,0.003541037,4.28234014569536,1.340578,9.186583,20.7899843046357,19.40462,21.78224,hard,danger
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,0.0001673539536764,0.0001477083,0.0001885569,4.08893967058823,0.8384571,9.580214,25.2300535294117,22.7536,27.74249,hard,danger
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,16.501479965616,9.647115,20.00005,3.72888266762177,1.66105,7.060308,16.6442537535816,6.189211,43.05401,normal,danger
2,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,9.93097857627118e-05,9.109116e-05,0.000106602,3.97536786016949,1.659996,9.490091,11.2286004237288,10.26331,13.24796,easy,danger
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,49.8498802631579,49.52668,50.00069,4.32193539473684,1.22038,9.384918,40.9746507894736,40.04068,41.88564,hard,danger
1,1,0,turn_right,stop,opposite_direction,0,0,1,0,1,1,1,0.0001139566974358,0.0001065384,0.0001187448,3.33949278846153,1.408898,6.934125,8.51397411538461,5.506879,10.90426,hard,danger
4,1,0,turn_right,turn left,opposite_direction,0,0,1,0,0,0,1,20.1285567391304,19.34001,21.80001,4.19167267391304,1.495971,9.456216,9.67969207608695,8.492673,10.89845,hard,danger
1,0,1,stop,turn left,opposite_direction,0,0,0,0,1,0,1,10.0348506361054,0.0006854328,30.00001,4.04300534065934,1.542379,9.551763,2.15860355479853,0.03666031,4.131727,normal,danger
