lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,bike_side_on_collision,vehicle_side_on_collision,in_collision_fault_of,vehicle_speed_mean,vehicle_speed_min,vehicle_speed_max,distance_mean,distance_min,distance_max,bike_speed_mean,bike_speed_min,bike_speed_max,level,real_risk
1,yes,yes,straight,straight,from_right,no,no,no,no,no,no,no,right,front,car,14.3800576812749,5.138952,36.35747,5.1923893067729,0.0,9.55233,20.1928800398406,18.20847,22.01214,easy,collision
2,yes,yes,turn_right,turn_right,same_direction,no,no,no,no,yes,no,yes,left,right,car,33.4169063432835,23.47071,50.00002,3.46640786477611,0.0,9.433023,4.32704935820895,2.51418,6.234187,normal,collision
2,yes,yes,turn_right,turn_right,same_direction,no,no,no,no,yes,no,yes,left,front,car,11.1830700949264,2.473404e-05,50.0,5.98159945925926,0.0,9.561999,11.0655768271604,7.383965,16.23191,normal,collision
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,,,,49.8659172839506,49.40005,50.00018,3.76202616091358,0.0,9.524971,6.52859465432098,5.371469,7.181016,easy,collision
1,yes,yes,straight,turn left,from_right,no,yes,no,no,no,yes,yes,left,front,bike,29.8389912686567,18.78595,50.30584,2.51816001186567,0.0,9.010919,13.4695087164179,6.60083,43.10247,normal,collision
2,yes,yes,stop,turn_right,same_direction,no,no,no,no,yes,yes,yes,back,front,bike,0.156015757358483,0.0001178882,2.97905,4.04775634730538,0.0,7.179306,2.03566978171856,0.008557654,7.823426,normal,collision
1,no,yes,reverse,straight,same_direction,no,no,no,no,yes,no,yes,right,front,bike,15.4052639527777,0.01284944,50.0008,3.33409185858585,0.0,9.544912,5.57667727272727,1.19494,9.252383,normal,collision
2,yes,yes,straight,straight,same_direction,no,no,no,no,yes,yes,yes,left,right,car,40.4373833333333,37.49789,41.01154,3.79757174954693,0.0,9.551372,17.1701208843537,16.32202,18.3602,normal,collision
2,yes,yes,straight,turn_right,same_direction,no,no,no,yes,yes,yes,yes,left,right,bike,11.3327629897609,0.03943105,26.60723,4.15718751308924,0.0,7.84924,11.4530234442231,5.517015,16.16788,normal,collision
1,yes,yes,turn_right,stop,opposite_direction,yes,no,yes,no,no,yes,yes,right,left,bike,8.43257907749431,0.0001368938,22.62928,4.05584225272727,0.0,9.489045,12.0884073295454,9.81826,15.51571,normal,collision
3,yes,yes,straight,straight,from_right,no,no,no,no,no,yes,yes,front,left,bike,5.78538194891255,6.96515e-05,24.33214,1.54082209235294,0.0,6.820936,5.73488870720588,0.01490461,52.68736,normal,collision
3,yes,yes,straight,straight,from_left,no,no,no,no,no,yes,yes,right,front,bike,4.89800539952882,6.119267e-05,71.62164,3.64074933333333,0.0,9.503727,3.3438836548,0.01490461,7.838154,normal,collision
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,left,right,bike,10.2479381776315,5.483984,16.77687,2.76338373026315,0.0,7.108148,22.7981076644736,7.397314,26.96131,hard,collision
2,yes,yes,turn left,straight,from_right,no,no,yes,no,yes,yes,yes,right,front,bike,5.13065314857887,5.353689e-08,20.00031,4.53105088571428,0.0,9.434955,9.22039857959183,6.618494,12.28,hard,collision
2,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,no,right,left,car,33.5523520070671,2.396234,50.00225,5.38729083937455,0.0,9.499778,21.1142922614841,15.00488,27.28393,hard,collision
4,yes,no,stop,turn left,from_right,yes,no,no,no,yes,no,yes,right,front,bike,18.1611090816326,4.781064,30.0004,3.07060077448979,0.0,9.381276,2.96111079969387,0.04057761,6.591522,hard,collision
4,yes,no,turn left,turn left,from_left,no,no,yes,yes,yes,no,yes,left,front,bike,4.52755892084531,0.0002771605,30.00001,2.94873640624999,0.0,9.466577,5.22980569802083,0.08772585,11.08357,hard,collision
1,yes,yes,straight,stop,from_left,yes,no,yes,no,no,yes,yes,front,right,bike,0.051257828857533,7.495165e-07,0.8832394,2.611760112,0.0,4.1062,3.23475358625999,0.02826973,7.011931,hard,collision
1,yes,yes,straight,stop,from_left,yes,no,yes,no,no,yes,yes,front,right,bike,0.0764050890088927,1.729242e-05,0.234116,3.72523408996539,0.0,8.419032,8.38185361937716,5.863738,11.81667,hard,collision
1,no,yes,straight,straight,same_direction,no,no,no,no,yes,yes,yes,left,right,bike,38.6212720277777,3.680988,50.0,3.00407634305555,0.0,9.376133,7.57841304166666,4.948529,8.717825,normal,collision
1,no,yes,stop,straight,same_direction,no,no,no,no,no,no,no,left,right,bike,6.74276840197155,0.0001474406,23.47736,3.44022027507331,0.0,7.05721,8.37135456979472,0.105446,16.12733,normal,collision
2,yes,yes,turn_right,turn left,opposite_direction,no,no,no,no,yes,yes,yes,left,right,bike,34.4266574418604,17.27786,50.01443,2.88164056046511,0.0,9.461241,15.8669995348837,15.42107,16.57654,normal,collision
1,no,yes,straight,straight,same_direction,no,no,no,no,no,yes,yes,left,right,bike,29.5355575555555,19.04947,40.9516,1.87237565585925,0.0,7.04974,17.090069037037,15.86342,18.93035,normal,collision
1,no,yes,straight,turn_right,same_direction,no,no,no,no,no,yes,yes,left,right,bike,5.2555481332802,0.0002464303,12.64998,3.6219367368421,0.0,9.563882,7.92673076441102,5.951813,12.40894,normal,collision
1,no,yes,straight,stop,same_direction,no,no,no,no,no,no,no,front,back,bike,0.0001546847362962,0.0001459951,0.0001623238,3.48337649376296,0.0,9.552618,17.615319037037,16.08991,19.34384,hard,collision
1,yes,yes,straight,stop,same_direction,no,no,no,no,no,no,no,front,back,bike,5.43830037030252,1.557923e-05,18.84011,2.79775072721311,0.0,7.054032,9.60081430397049,0.007541961,22.96415,hard,collision
1,yes,yes,straight,stop,same_direction,no,no,no,no,no,no,no,front,back,bike,5.51806608243946,5.508946e-05,20.08299,2.19314383621399,0.0,7.249959,0.863818506366255,0.001244573,4.800068,hard,collision
3,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,right,left,car,14.4848810377245,0.6503511,39.02935,6.01733924352894,0.0,7.868333,9.32478693213572,6.6111,14.00381,hard,collision
1,yes,yes,straight,turn_right,same_direction,no,no,no,no,no,yes,yes,left,front,bike,11.8562747601725,0.0006833985,50.0,4.92924508791208,0.0,9.470021,11.6383963736263,10.53254,14.61473,hard,collision
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,left,right,bike,49.8302549112426,49.40665,50.00033,3.71526875085207,0.0,9.510455,29.2022600591716,28.21234,29.96571,normal,collision
1,yes,yes,straight,stop,from_right,no,yes,yes,no,no,yes,yes,front,right,bike,2.60771483843561,6.113913e-05,7.535515,3.26366384477611,0.0,6.912695,5.77624646916417,0.01396143,26.4893,normal,collision
1,yes,yes,straight,stop,from_right,no,yes,yes,no,no,yes,yes,front,front,bike,2.12359717961957,0.0001580409,13.99932,3.53496958715596,0.0,9.344932,5.25957366045871,0.01396143,26.4893,normal,collision
1,yes,yes,reverse,stop,from_left,no,yes,yes,no,no,yes,yes,front,left,bike,5.19970730573322,1.391959e-06,21.28334,6.97702943859649,0.0,9.177174,4.20261146182017,0.03416535,7.12232,normal,collision
1,yes,yes,reverse,turn_right,from_right,no,yes,yes,no,no,yes,yes,front,front,car,0.992735557798203,0.0001555247,12.5684,5.29833570858283,0.0,7.583578,4.30385413013972,0.2419923,6.815312,normal,collision
1,yes,yes,reverse,turn_right,from_right,no,yes,yes,no,no,yes,yes,back,left,bike,2.80465698086427,0.001130806,7.97045,1.654574600998,0.0,3.803538,4.30641671896207,0.2419923,6.815312,normal,collision
1,yes,yes,straight,stop,from_left,no,yes,yes,no,no,yes,yes,front,back,bike,0.088414835910204,0.0001394101,2.98493,2.34876374793197,0.0,6.930533,15.0753215646258,13.64177,16.15177,normal,collision
1,yes,no,turn_right,straight,same_direction,no,no,no,no,no,yes,yes,left,right,bike,10.0194641719745,9.653238,12.13292,3.96494816921942,0.0,9.158396,29.6400419745222,24.67135,41.05727,hard,collision
1,yes,no,turn_right,turn_right,same_direction,no,no,no,no,no,yes,yes,left,right,bike,9.915566625,2.229752,18.21558,3.36639613616666,0.0,9.274339,34.8649418333333,28.6186,42.323,hard,collision
1,no,yes,turn left,stop,from_right,no,no,no,no,yes,no,yes,front,left,bike,0.0037578903357142,0.0001416586,0.2881851,2.96492263928571,0.0,6.889935,4.49617023071428,0.2256626,8.014909,hard,collision
1,no,yes,straight,stop,from_right,yes,no,no,no,yes,no,yes,left,back,bike,0.0009049344925548,7.554055e-05,0.1510404,2.78758524837524,0.0,6.602963,5.33381259740519,0.2216901,9.826713,hard,collision
1,no,yes,reverse,stop,from_right,yes,no,no,no,yes,no,yes,front,front,bike,5.13917900411192,0.0001741555,27.83237,3.19313322935779,0.0,6.810194,4.64099182883027,0.02228259,7.044104,hard,collision
1,yes,yes,turn left,turn left,from_right,no,yes,no,no,yes,yes,yes,front,left,bike,40.4656081481481,37.09166,43.10576,3.76015603518518,0.0,9.090576,10.9696317962962,7.376856,11.91616,hard,collision
1,no,yes,straight,stop,from_left,yes,no,yes,no,no,no,yes,front,right,bike,2.11111099456592,0.0001548287,6.551659,2.19333458503184,0.0,7.121329,4.20811235296178,0.054857,11.99656,hard,collision
3,yes,yes,turn_right,turn_right,same_direction,no,no,no,no,no,yes,yes,front,right,bike,5.02326497086614,6.119267e-05,15.44827,3.42276406218905,0.0,7.019561,11.5229329848258,0.1103294,64.30499,hard,collision
3,yes,yes,turn_right,turn_right,same_direction,no,no,no,no,no,yes,yes,front,right,bike,15.269782368421,11.58472,19.18594,2.17442479842105,0.0,7.018106,13.3217031742105,0.1103294,62.93941,hard,collision
1,yes,yes,stop,turn_right,same_direction,no,no,no,no,no,no,no,left,right,bike,4.124073930269,7.377384e-05,17.56909,2.06308011816367,0.0,5.101277,3.28964223070784,2.36765e-05,7.72769,hard,collision
1,yes,yes,stop,turn_right,same_direction,no,no,no,no,no,no,no,front,right,bike,5.74498116886509,5.503592e-05,21.54603,4.52405933571428,0.0,7.853682,2.86362701567769,2.36765e-05,7.72769,hard,collision
1,yes,no,turn_right,stop,opposite_direction,no,no,yes,no,yes,yes,yes,front,left,bike,0.000160813939834,0.0001389282,0.000187968,2.388842199,0.0,7.090389,9.74628760165975,5.506879,13.12836,hard,collision
1,yes,yes,turn left,stop,same_direction,no,no,no,no,no,yes,yes,left,right,bike,7.28722329749401,0.000110286,26.36694,6.73334218570858,0.0,8.844865,3.04693376324065,7.970529e-05,10.17863,easy,collision
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,left,right,car,49.8024779347826,49.43998,50.00036,3.75718321,0.0,9.518417,11.9601734782608,11.61994,12.24833,hard,collision
2,yes,no,reverse,turn left,from_right,yes,no,no,no,no,no,yes,right,front,bike,24.6319478102189,16.66022,30.00004,3.57326575547445,0.0,9.467976,1.82675977167883,0.07809814,4.093901,hard,collision
2,yes,yes,straight,straight,same_direction,no,no,no,no,no,no,no,back,front,car,12.9933393982169,0.001058746,35.01369,5.49936806349206,0.0,9.519506,13.0982434920634,11.47159,14.87224,hard,collision
4,yes,no,turn_right,turn_right,same_direction,no,no,no,yes,no,yes,yes,left,right,bike,16.0524009943857,0.007979942,30.00043,2.85702989164619,0.0,7.087506,11.2065046633906,9.073223,14.6982,hard,collision
1,yes,yes,turn_right,stop,opposite_direction,no,yes,no,no,no,yes,yes,front,left,bike,0.140798184773209,6.745648e-06,7.852956,2.84344530186836,0.0,8.746651,19.4639060451977,13.23739,55.59595,easy,collision
1,yes,yes,turn_right,stop,opposite_direction,no,yes,no,no,no,yes,yes,front,left,bike,6.88978433905579e-05,6.290585e-05,8.737221e-05,3.36707548988669,0.0,9.432381,15.1410374248927,13.23739,53.82674,easy,collision
2,yes,no,turn left,straight,same_direction,no,no,no,yes,yes,yes,yes,left,right,bike,68.6684204395604,55.69112,70.00731,4.02037451978022,0.0,9.397228,33.5709936263736,32.4092,34.81649,easy,collision
